o_date;2016;2017
1;112 520 331,35;196 053 393,20
2;100 652 262,20;171 306 939,30
3;125 415 802,40;206 985 912,00
4;135 366 050,40;194 691 926,10
5;130 065 409,60;229 263 806,80
6;122 606 375,50;206 891 846,00
7;127 451 660,70;210 803 723,90
8;152 145 473,20;215 920 308,80
9;158 168 201,10;217 417 658,50
10;195 448 265,60;260 797 354,30
11;221 892 632,50;304 583 518,40
12;223 290 188,10;322 948 401,30
